participant,part2instr_presented,err_to_cor_0,err_to_cor_0.8,err_to_cor_1,err_to_uncor_0,err_to_uncor_0.8,err_to_uncor_1,err_to_pop_mean_0,err_to_pop_mean_0.8,err_to_pop_mean_1,err_to_sample_mean_0,err_to_sample_mean_0.8,err_to_sample_mean_1
808560,-1,19.485198863926,17.0960861704376,12.7452116935483,18.9131978587645,18.056602987476,19.9673374808164,19.2602083333333,18.2141666666667,20.9797916666667,19.1160908252336,15.1905841218215,15.2339579075445
826867,1,14.9336233974794,13.6527148443757,11.1426030516884,16.3651573916966,17.1169973013475,18.0942302272951,16.2,17.0397916666667,18.1407291666667,15.617569897401,14.0011416591499,13.1991080836933
826869,-1,20.384853479543,20.2161624863587,22.221023880484,19.8429793781799,20.9792007521883,22.9191295045432,20.1777083333333,21.2705208333333,22.6335416666667,19.9538961858743,19.0848866704488,21.2756338702813
826888,1,16.4897386624864,15.3329678880813,14.5251702450367,17.0539433119443,16.069805330054,17.3947321195323,16.9685416666667,16.9897916666667,17.796875,16.6817655675288,14.378005873162,14.7494472400407
826899,-1,15.9535629521401,18.5801513816031,14.5850413000822,14.9661916290249,23.1279874865156,18.0876426432494,15.6566666666667,22.88875,18.8897916666667,15.3600358072946,19.9508749904092,13.9415816208544
826921,-1,14.2111493731655,16.1217414235224,15.1079447603808,13.6066556642311,15.3589033340153,14.474909075246,13.7627083333333,15.23875,14.7810416666667,13.6004531531801,14.2395302275708,12.1895995549755
826936,1,14.6132741545983,14.8578223526931,15.1077302048048,14.3146021662656,17.540601349332,20.4407920762448,14.7060416666667,17.3426041666667,20.9105208333333,14.3437111315173,14.4524246293667,16.387243281714
826937,1,23.3889831459462,18.1452446292069,16.9828513101363,23.4273853788197,18.6773943211151,21.4597558488631,23.6935416666667,19.0069791666667,21.1607291666667,23.1273197162102,17.5321149046201,17.8505454504538
826961,-1,21.1405249613597,23.7632148321167,15.537334861114,21.0809083012725,28.5555122937145,20.2432122751577,21.2883333333333,28.5369791666667,20.0551041666667,21.0111814929367,25.389143527756,16.1139576132059
826968,1,18.4063728849317,18.6522933244356,16.148147040941,18.2182083270119,21.5534987369045,22.9978936213138,18.883125,21.7611458333333,22.5391666666667,18.2292953043997,18.5397140631674,17.7967342802928
826972,-1,34.0056345301289,36.5222653601489,24.8622985492549,34.991355497031,36.5783972639548,28.2300413280988,34.0570833333333,37.0848958333333,28.2857291666667,34.3685662480613,35.2744319477864,25.3013879735437
826973,1,19.758228026203,15.1455054416543,16.1513350712993,20.6817974267864,18.4055260308581,24.4212631558891,20.2666666666667,18.0402083333333,24.7802083333333,20.0887267027252,15.0817010542768,19.0660516183925
826974,1,27.3105536403383,24.0084967741055,20.3672710850901,27.804540346729,22.366451019,19.9963417228437,27.6464583333333,22.7308333333333,20.6840625,27.469170510638,22.4026959250034,19.0230580053008
827061,-1,14.2738314772913,10.7364104518885,9.26153566902338,14.7226778735734,16.1564093380085,18.6275653120824,13.9391666666667,15.9986458333333,18.6764583333333,14.3626568254831,11.7002012122677,11.5575491527597
827105,-1,38.4767718665308,23.004325038875,21.9541157608535,38.8104780917215,25.4415418161494,24.9848522358419,38.3297916666667,25.6283333333333,24.6136458333333,38.5916834108036,23.0999627452169,21.6990575716149
827117,-1,26.6133405519044,27.483921634339,21.1553000559758,26.1632771446366,33.0364936179622,24.9845571626723,26.680625,32.9790625,24.5503125,26.3373388336155,29.282119645323,21.7006934822767
827237,-1,12.1288473503787,19.5072951803668,13.2526235685561,12.8005782174387,26.3377497435833,22.4728533035239,11.895625,25.6617708333333,22.1727083333333,12.2922991437661,21.6553196785578,16.596671316168
828657,1,18.0472313684469,15.8648589788624,18.2854133064517,18.4461988988817,18.418095332023,21.8088520862946,18.4729166666667,18.409375,22.1608333333333,18.2091497716476,16.0410333032102,18.4757731606552
