participant,part2instr_presented,target_cor,variable,abs_err,variablef
800986,0,1,err_to_cor,14.8987197580645,corr. part
800986,-1,1,err_to_cor,28.6516028225808,corr. part
800986,-1,0.8,err_to_cor,15.01925661853,corr. part
800986,-1,0,err_to_cor,14.8183379353193,corr. part
801154,0,0.8,err_to_cor,14.3735546835078,corr. part
801154,0,0,err_to_cor,16.3906697685405,corr. part
801154,0,1,err_to_cor,19.7752452956989,corr. part
801154,-1,0.8,err_to_cor,16.5490248711362,corr. part
801154,-1,0,err_to_cor,19.2378964248908,corr. part
801154,-1,1,err_to_cor,18.567624327957,corr. part
801528,0,1,err_to_cor,18.6592372311829,corr. part
801528,0,0.8,err_to_cor,24.8339397781863,corr. part
801528,0,0,err_to_cor,39.3702549757834,corr. part
801528,1,1,err_to_cor,12.0854099462367,corr. part
801528,1,0,err_to_cor,20.1769329834118,corr. part
801528,1,0.8,err_to_cor,21.5906284898348,corr. part
801565,0,1,err_to_cor,12.6854536290324,corr. part
801565,0,0.8,err_to_cor,22.0768087208389,corr. part
801565,0,0,err_to_cor,21.5452656014832,corr. part
801565,-1,1,err_to_cor,14.2804637096775,corr. part
801565,-1,0,err_to_cor,20.6656019191854,corr. part
801565,-1,0.8,err_to_cor,17.8838053960941,corr. part
801973,0,0,err_to_cor,16.1318362979538,corr. part
801973,0,1,err_to_cor,25.1272479838709,corr. part
801973,0,0.8,err_to_cor,29.7138548155096,corr. part
801973,-1,0.8,err_to_cor,20.0472333024579,corr. part
801973,-1,1,err_to_cor,19.0724059139788,corr. part
801973,-1,0,err_to_cor,31.1533617053094,corr. part
802029,0,0.8,err_to_cor,23.5204151716043,corr. part
802029,0,0,err_to_cor,22.2993497518621,corr. part
802029,0,1,err_to_cor,18.0474495967745,corr. part
802029,1,0.8,err_to_cor,15.3380521192904,corr. part
802029,1,0,err_to_cor,18.4847196491035,corr. part
802029,1,1,err_to_cor,19.2612264784946,corr. part
803867,0,0.8,err_to_cor,18.854163292201,corr. part
803867,0,1,err_to_cor,14.1229166666664,corr. part
803867,0,0,err_to_cor,20.4587616518659,corr. part
803867,-1,1,err_to_cor,13.9497647849464,corr. part
803867,-1,0.8,err_to_cor,16.2505634849713,corr. part
803867,-1,0,err_to_cor,13.8911739434565,corr. part
805879,0,1,err_to_cor,16.7860752688172,corr. part
805879,0,0,err_to_cor,15.7060927834566,corr. part
805879,0,0.8,err_to_cor,14.7101816078474,corr. part
805879,-1,1,err_to_cor,14.1328561827957,corr. part
805879,-1,0.8,err_to_cor,11.3729851688816,corr. part
805879,-1,0,err_to_cor,15.5280375246908,corr. part
808560,0,0.8,err_to_cor,14.3987731053452,corr. part
808560,0,1,err_to_cor,13.1934744623657,corr. part
808560,0,0,err_to_cor,17.8598639840208,corr. part
808560,-1,0.8,err_to_cor,17.0960861704376,corr. part
808560,-1,0,err_to_cor,19.485198863926,corr. part
808560,-1,1,err_to_cor,12.7452116935483,corr. part
828657,0,0.8,err_to_cor,19.3623860507407,corr. part
828657,0,1,err_to_cor,20.1561122311824,corr. part
828657,0,0,err_to_cor,15.4168842501053,corr. part
828657,1,1,err_to_cor,18.2854133064517,corr. part
828657,1,0.8,err_to_cor,15.8648589788624,corr. part
828657,1,0,err_to_cor,18.0472313684469,corr. part
826867,0,0,err_to_uncor,11.7003389854874,uncorr. part
826867,0,0.8,err_to_uncor,17.5879138550105,uncorr. part
826867,0,1,err_to_uncor,17.0879926250558,uncorr. part
826867,1,1,err_to_uncor,18.0942302272951,uncorr. part
826867,1,0,err_to_uncor,16.3651573916966,uncorr. part
826867,1,0.8,err_to_uncor,17.1169973013475,uncorr. part
826869,0,1,err_to_uncor,24.7631421464895,uncorr. part
826869,0,0.8,err_to_uncor,19.8256520126046,uncorr. part
826869,0,0,err_to_uncor,27.9004276450225,uncorr. part
826869,-1,0.8,err_to_uncor,20.9792007521883,uncorr. part
826869,-1,0,err_to_uncor,19.8429793781799,uncorr. part
826869,-1,1,err_to_uncor,22.9191295045432,uncorr. part
826888,0,1,err_to_uncor,18.1438899643546,uncorr. part
826888,0,0,err_to_uncor,20.1828941553347,uncorr. part
826888,0,0.8,err_to_uncor,18.1142402637285,uncorr. part
826888,1,0.8,err_to_uncor,16.069805330054,uncorr. part
826888,1,0,err_to_uncor,17.0539433119443,uncorr. part
826888,1,1,err_to_uncor,17.3947321195323,uncorr. part
826899,0,0.8,err_to_uncor,20.1774600474194,uncorr. part
826899,0,1,err_to_uncor,18.4380295884799,uncorr. part
826899,0,0,err_to_uncor,17.750950946675,uncorr. part
826899,-1,0.8,err_to_uncor,23.1279874865156,uncorr. part
826899,-1,0,err_to_uncor,14.9661916290249,uncorr. part
826899,-1,1,err_to_uncor,18.0876426432494,uncorr. part
826921,0,0.8,err_to_uncor,15.0315126639921,uncorr. part
826921,0,0,err_to_uncor,15.8664677214393,uncorr. part
826921,0,1,err_to_uncor,16.3415921780517,uncorr. part
826921,-1,0.8,err_to_uncor,15.3589033340153,uncorr. part
826921,-1,0,err_to_uncor,13.6066556642311,uncorr. part
826921,-1,1,err_to_uncor,14.474909075246,uncorr. part
826936,0,1,err_to_uncor,16.8069924099669,uncorr. part
826936,0,0,err_to_uncor,16.4192016126862,uncorr. part
826936,0,0.8,err_to_uncor,20.6172597739142,uncorr. part
826936,1,0.8,err_to_uncor,17.540601349332,uncorr. part
826936,1,1,err_to_uncor,20.4407920762448,uncorr. part
826936,1,0,err_to_uncor,14.3146021662656,uncorr. part
826937,0,0.8,err_to_uncor,18.1690781184194,uncorr. part
826937,0,1,err_to_uncor,21.9598687671513,uncorr. part
826937,0,0,err_to_uncor,21.655447022532,uncorr. part
826937,1,0.8,err_to_uncor,18.6773943211151,uncorr. part
826937,1,1,err_to_uncor,21.4597558488631,uncorr. part
826937,1,0,err_to_uncor,23.4273853788197,uncorr. part
826961,0,1,err_to_uncor,19.2924025158417,uncorr. part
826961,0,0,err_to_uncor,16.9989407480442,uncorr. part
826961,0,0.8,err_to_uncor,20.2171235610588,uncorr. part
826961,-1,1,err_to_uncor,20.2432122751577,uncorr. part
826961,-1,0.8,err_to_uncor,28.5555122937145,uncorr. part
826961,-1,0,err_to_uncor,21.0809083012725,uncorr. part
826968,0,0,err_to_uncor,19.8683255291623,uncorr. part
826968,0,1,err_to_uncor,24.8853183766903,uncorr. part
826968,0,0.8,err_to_uncor,24.377726895387,uncorr. part
826968,1,0.8,err_to_uncor,21.5534987369045,uncorr. part
826968,1,1,err_to_uncor,22.9978936213138,uncorr. part
826968,1,0,err_to_uncor,18.2182083270119,uncorr. part
826972,0,0,err_to_uncor,24.738857216683,uncorr. part
826972,0,1,err_to_uncor,25.4245756320775,uncorr. part
826972,0,0.8,err_to_uncor,28.3975237648464,uncorr. part
826972,-1,1,err_to_uncor,28.2300413280988,uncorr. part
826972,-1,0,err_to_uncor,34.991355497031,uncorr. part
826972,-1,0.8,err_to_uncor,36.5783972639548,uncorr. part
826973,0,0.8,err_to_uncor,20.6830972584953,uncorr. part
826973,0,1,err_to_uncor,21.0551518446513,uncorr. part
826973,0,0,err_to_uncor,16.3593184546436,uncorr. part
826973,1,1,err_to_uncor,24.4212631558891,uncorr. part
826973,1,0.8,err_to_uncor,18.4055260308581,uncorr. part
826973,1,0,err_to_uncor,20.6817974267864,uncorr. part
826974,0,0.8,err_to_uncor,21.5949108947965,uncorr. part
826974,0,1,err_to_uncor,23.4422492812012,uncorr. part
826974,0,0,err_to_uncor,20.4996253053704,uncorr. part
826974,1,1,err_to_uncor,19.9963417228437,uncorr. part
826974,1,0,err_to_uncor,27.804540346729,uncorr. part
826974,1,0.8,err_to_uncor,22.366451019,uncorr. part
827061,0,0.8,err_to_uncor,19.3130639023884,uncorr. part
827061,0,1,err_to_uncor,17.4244700060466,uncorr. part
827061,0,0,err_to_uncor,18.6346154041167,uncorr. part
827061,-1,0,err_to_uncor,14.7226778735734,uncorr. part
827061,-1,0.8,err_to_uncor,16.1564093380085,uncorr. part
827061,-1,1,err_to_uncor,18.6275653120824,uncorr. part
827105,0,0.8,err_to_uncor,20.8713887324491,uncorr. part
827105,0,1,err_to_uncor,21.1049740877932,uncorr. part
827105,0,0,err_to_uncor,18.7191256734275,uncorr. part
827105,-1,1,err_to_uncor,24.9848522358419,uncorr. part
827105,-1,0.8,err_to_uncor,25.4415418161494,uncorr. part
827105,-1,0,err_to_uncor,38.8104780917215,uncorr. part
827117,0,1,err_to_uncor,22.9199962776968,uncorr. part
827117,0,0.8,err_to_uncor,22.395008717494,uncorr. part
827117,0,0,err_to_uncor,21.0649890017401,uncorr. part
827117,-1,1,err_to_uncor,24.9845571626723,uncorr. part
827117,-1,0.8,err_to_uncor,33.0364936179622,uncorr. part
827117,-1,0,err_to_uncor,26.1632771446366,uncorr. part
827237,0,0,err_to_uncor,11.1861587945486,uncorr. part
827237,0,1,err_to_uncor,19.5321321274289,uncorr. part
827237,0,0.8,err_to_uncor,26.9649221171894,uncorr. part
827237,-1,0.8,err_to_uncor,26.3377497435833,uncorr. part
827237,-1,1,err_to_uncor,22.4728533035239,uncorr. part
827237,-1,0,err_to_uncor,12.8005782174387,uncorr. part
800619,0,0,err_to_uncor,22.1744575522115,uncorr. part
800619,0,1,err_to_uncor,23.6050342169616,uncorr. part
800619,0,0.8,err_to_uncor,22.4762667985683,uncorr. part
800619,1,1,err_to_uncor,19.6121668285067,uncorr. part
800619,1,0.8,err_to_uncor,24.5463766104116,uncorr. part
800619,1,0,err_to_uncor,18.7931975834544,uncorr. part
800686,0,1,err_to_uncor,19.7839104195642,uncorr. part
800686,0,0.8,err_to_uncor,25.0627328861182,uncorr. part
800686,0,0,err_to_uncor,17.8462140716373,uncorr. part
800686,1,1,err_to_uncor,23.613916516561,uncorr. part
800686,1,0.8,err_to_uncor,21.1148851163986,uncorr. part
800686,1,0,err_to_uncor,20.2158848009786,uncorr. part
800700,0,1,err_to_uncor,19.3133724958398,uncorr. part
800700,0,0.8,err_to_uncor,18.9781243556777,uncorr. part
800700,0,0,err_to_uncor,20.0832200719793,uncorr. part
800700,-1,1,err_to_uncor,23.4877616971216,uncorr. part
800700,-1,0.8,err_to_uncor,17.8126359070467,uncorr. part
800700,-1,0,err_to_uncor,15.5616998429109,uncorr. part
800706,0,1,err_to_uncor,24.8966613750661,uncorr. part
800706,0,0.8,err_to_uncor,28.8043312815745,uncorr. part
800706,0,0,err_to_uncor,34.080527911903,uncorr. part
800706,1,1,err_to_uncor,33.8165547461397,uncorr. part
800706,1,0.8,err_to_uncor,27.9735215332133,uncorr. part
800706,1,0,err_to_uncor,27.2830665866638,uncorr. part
800712,0,0,err_to_uncor,11.881338656829,uncorr. part
800712,0,0.8,err_to_uncor,12.0182673382971,uncorr. part
800712,0,1,err_to_uncor,11.0407256167422,uncorr. part
800712,-1,0.8,err_to_uncor,11.5124075061622,uncorr. part
800712,-1,1,err_to_uncor,12.4568799244902,uncorr. part
800712,-1,0,err_to_uncor,14.2117180269736,uncorr. part
800715,0,1,err_to_uncor,20.5430086958111,uncorr. part
800715,0,0.8,err_to_uncor,23.6687707074732,uncorr. part
800715,0,0,err_to_uncor,17.4452501581112,uncorr. part
800715,-1,1,err_to_uncor,17.7036652428537,uncorr. part
800715,-1,0.8,err_to_uncor,20.0598315562747,uncorr. part
800715,-1,0,err_to_uncor,18.7700654861034,uncorr. part
800719,0,0,err_to_uncor,28.9323882774163,uncorr. part
800719,0,1,err_to_uncor,26.2275110527676,uncorr. part
800719,0,0.8,err_to_uncor,22.7387150094936,uncorr. part
800719,1,1,err_to_uncor,25.6785537336701,uncorr. part
800719,1,0,err_to_uncor,21.49265864557,uncorr. part
800719,1,0.8,err_to_uncor,23.7553788057935,uncorr. part
800721,0,1,err_to_uncor,14.774884601233,uncorr. part
800721,0,0.8,err_to_uncor,13.7416823978153,uncorr. part
800721,0,0,err_to_uncor,11.4838881497015,uncorr. part
800721,1,1,err_to_uncor,16.0195973555039,uncorr. part
800721,1,0.8,err_to_uncor,14.929487188023,uncorr. part
800721,1,0,err_to_uncor,15.1344100968468,uncorr. part
800729,0,0,err_to_uncor,21.2143020471165,uncorr. part
800729,0,1,err_to_uncor,28.3069039986526,uncorr. part
800729,0,0.8,err_to_uncor,30.205219225808,uncorr. part
800729,-1,0,err_to_uncor,28.507585427505,uncorr. part
800729,-1,0.8,err_to_uncor,35.3930518112393,uncorr. part
800729,-1,1,err_to_uncor,27.8095991286182,uncorr. part
800734,0,0,err_to_uncor,20.9725372394738,uncorr. part
800734,0,0.8,err_to_uncor,32.5331934560933,uncorr. part
800734,0,1,err_to_uncor,16.1187712832804,uncorr. part
800734,1,0.8,err_to_uncor,23.9060317471144,uncorr. part
800734,1,1,err_to_uncor,19.3163486717735,uncorr. part
800734,1,0,err_to_uncor,15.3148045576135,uncorr. part
800746,0,0,err_to_uncor,16.302817343884,uncorr. part
800746,0,1,err_to_uncor,24.0083253629072,uncorr. part
800746,0,0.8,err_to_uncor,17.7535339484127,uncorr. part
800746,-1,1,err_to_uncor,20.9923438661651,uncorr. part
800746,-1,0.8,err_to_uncor,21.1138643161571,uncorr. part
800746,-1,0,err_to_uncor,16.8721397391101,uncorr. part
800757,0,0.8,err_to_uncor,20.7198869445517,uncorr. part
800757,0,1,err_to_uncor,21.6782126147632,uncorr. part
800757,0,0,err_to_uncor,19.9954380505695,uncorr. part
800757,1,1,err_to_uncor,23.2275040636786,uncorr. part
800757,1,0.8,err_to_uncor,19.1252197667611,uncorr. part
800757,1,0,err_to_uncor,15.5566519610789,uncorr. part
