participant,block,trial_number,t1_ori,t2_ori,t3_ori,target_position,cue_type,real_target_position,start_ori,resp_ori,error,abs_err,target_ori,diff_to_next,diff_to_prev
31,1,71,6.01,-13.78,56.86,3,valid,3,90,37,-19.86,19.86,56.86,,70.64
31,1,72,-83.67,55.81,39,3,valid,3,135,61,22,22,39,,-16.81
31,1,73,-87.43,80.58,-45.17,3,valid,3,177,-22,23.17,23.17,-45.17,,54.25
31,1,74,22.32,-4.71,-33.85,2,valid,2,111,0,4.70999999999998,4.70999999999998,-4.71,29.14,-27.03
31,1,75,58.35,-65.82,-83.58,1,valid,1,5,35,-23.35,23.35,58.35,-55.83,
31,1,76,-25.68,59.94,-76.29,1,valid,1,73,-28,-2.31999999999999,2.31999999999999,-25.68,-85.62,
31,1,77,-10.6,43.41,28.14,3,valid,3,128,30,1.86000000000001,1.86000000000001,28.14,,-15.27
31,1,78,75.66,-38.5,-20.04,2,valid,2,172,-60,-21.5,21.5,-38.5,-18.46,65.84
31,1,79,63.22,-73.37,23.75,1,valid,1,104,47,-16.22,16.22,63.22,-43.41,
31,1,80,39.06,80.28,-6.4,3,neutral,1,16,60,20.94,20.94,39.06,-41.22,
31,1,81,-64.35,54.5,-89.4,1,valid,1,63,-46,18.35,18.35,-64.35,61.15,
31,1,82,63.05,79.35,54.31,3,valid,3,169,59,4.69,4.69,54.31,,-25.04
31,1,83,-20.98,-30.31,42.12,3,valid,3,92,45,2.88,2.88,42.12,,72.43
31,1,84,-25.66,5.29,-71.02,2,neutral,3,123,-68,3.01999999999998,3.01999999999998,-71.02,,-76.31
31,1,85,-62.22,-0.2,81.38,1,valid,1,63,-20,42.22,42.22,-62.22,-62.02,
31,1,86,-20.42,20.06,26.66,2,valid,2,16,18,-2.06,2.06,20.06,-6.6,40.48
31,1,87,82.62,80.51,35.32,1,valid,1,153,49,-33.62,33.62,82.62,2.11,
31,1,88,-78.31,42.04,-7.57,3,valid,3,124,1,8.56999999999999,8.56999999999999,-7.57,,-49.61
31,1,89,61.36,-33.78,14.14,1,neutral,1,174,43,-18.36,18.36,61.36,-84.86,
31,1,90,27.03,58.59,7.81,2,valid,2,72,50,-8.59000000000003,8.59000000000003,58.59,50.78,31.56
31,1,91,-2.4,-6.32,82.95,3,neutral,1,68,-75,-72.6,72.6,-2.4,3.92,
31,1,92,46.44,8.09,5.42,1,invalid,2,177,1,-7.09000000000003,7.09000000000003,8.09,2.67,-38.35
31,1,93,-68.09,-35.43,-89.44,1,valid,1,55,-51,17.09,17.09,-68.09,-32.66,
31,1,94,-11.27,8.14,56.8,1,valid,1,67,11,22.27,22.27,-11.27,-19.41,
31,1,95,69.01,40.34,-52.89,2,valid,2,173,-40,-80.34,80.34,40.34,-86.77,-28.67
31,1,96,56.17,-73.81,-72.47,2,valid,2,63,-53,20.81,20.81,-73.81,-1.34000000000001,50.02
31,1,97,32.31,84.64,32.21,1,neutral,2,42,56,-28.64,28.64,84.64,52.43,52.33
31,1,98,39.56,-83.44,-63.1,2,neutral,2,64,-59,24.44,24.44,-83.44,-20.34,57
31,1,99,-17.65,45.74,-10.15,3,valid,3,5,-34,-23.85,23.85,-10.15,,-55.89
31,1,100,51.11,-9.56,81.08,3,invalid,2,38,81,-89.44,89.44,-9.56,89.36,-60.67
31,1,101,-30.29,-15.47,-8.49,2,valid,2,1,-15,0.470000000000027,0.470000000000027,-15.47,-6.98,14.82
31,1,102,-64.23,-83.85,88.73,1,valid,1,35,-49,15.23,15.23,-64.23,19.62,
31,1,103,56.56,-85.14,50.36,3,neutral,2,105,63,-31.86,31.86,-85.14,44.5,38.3
31,1,104,71.22,-18.15,-61.6,3,valid,3,3,-52,9.60000000000002,9.60000000000002,-61.6,,-43.45
31,1,105,-29.17,-37.87,88.53,1,valid,1,37,-56,-26.83,26.83,-29.17,8.69999999999999,
31,1,106,-40.75,29.12,-42.06,1,neutral,1,119,-48,-7.25,7.25,-40.75,-69.87,
31,1,107,64.61,55.47,67.82,2,valid,2,64,64,8.52999999999997,8.52999999999997,55.47,-12.35,-9.14
31,1,108,51.77,29.14,-20.42,1,invalid,3,46,37,57.42,57.42,-20.42,,-49.56
31,1,109,-53.66,-42.37,17.78,1,valid,1,69,-42,11.66,11.66,-53.66,-11.29,
31,1,110,-40.85,-9.29,31.76,3,invalid,1,174,37,77.85,77.85,-40.85,-31.56,
31,1,111,61.44,-27.05,16.36,2,valid,2,156,-88,-60.95,60.95,-27.05,-43.41,-88.49
31,1,112,-22.95,-10.07,21.52,2,neutral,2,154,39,49.07,49.07,-10.07,-31.59,12.88
31,1,113,78.6,-18.28,-89.83,3,neutral,1,23,64,-14.6,14.6,78.6,-83.12,
31,1,114,-22.25,45.54,-0.67,2,invalid,1,127,60,82.25,82.25,-22.25,-67.79,
31,1,115,34.07,47.16,35.03,2,valid,2,95,54,6.84000000000003,6.84000000000003,47.16,12.13,13.09
31,1,116,-9.03,77.74,-45.63,2,invalid,3,169,88,-46.37,46.37,-45.63,,56.63
31,1,117,-40.25,-53.71,14.12,3,valid,3,17,27,12.88,12.88,14.12,,67.83
31,1,118,78,-50.67,52.54,3,valid,3,158,-71,56.46,56.46,52.54,,-76.79
31,1,119,5.75,-6.52,89.02,1,neutral,3,91,-76,14.98,14.98,89.02,,-84.46
31,1,120,-9.05,62.39,71.43,2,invalid,3,111,65,-6.43000000000001,6.43000000000001,71.43,,9.04000000000001
31,1,121,-83.53,27.14,27.07,2,valid,2,10,48,20.86,20.86,27.14,0.0699999999999957,-69.33
31,1,122,-26.38,-45.58,-60.09,1,valid,1,27,-46,-19.62,19.62,-26.38,19.2,
31,1,123,89.39,-14.07,66.99,1,invalid,2,25,-14,0.0699999999999932,0.0699999999999932,-14.07,-81.06,76.54
31,1,124,80.77,-11.27,73.48,3,valid,3,14,62,-11.48,11.48,73.48,,84.75
31,1,125,-24.83,-79.88,26.2,2,valid,2,163,-68,11.88,11.88,-79.88,73.92,-55.05
31,1,126,24.68,86.4,-17.59,1,invalid,2,140,-15,78.6,78.6,86.4,-76.01,61.72
31,1,127,-66.51,32.96,-36.25,3,valid,3,158,-36,0.25,0.25,-36.25,,-69.21
31,1,128,85.55,-45.77,-84.73,1,neutral,3,58,-89,-4.26999999999998,4.26999999999998,-84.73,,-38.96
31,1,129,39.99,20.04,-63.55,1,valid,1,84,-50,-89.99,89.99,39.99,19.95,
31,1,130,9.35,-64.55,81.52,1,invalid,2,146,41,-74.45,74.45,-64.55,33.93,-73.9
31,1,131,-20.76,-74.67,-17.23,2,valid,2,109,-52,22.67,22.67,-74.67,-57.44,-53.91
31,1,132,56.36,-8.74,44.9,1,neutral,3,94,41,-3.89999999999998,3.89999999999998,44.9,,53.64
31,1,133,-36.14,-5.14,-10.75,1,invalid,3,11,-47,-36.25,36.25,-10.75,,-5.61000000000001
31,1,134,-46.34,46.28,51.07,1,valid,1,141,-41,5.34000000000003,5.34000000000003,-46.34,87.38,
31,1,135,56.55,3.49,8.55,1,valid,1,0,64,7.44999999999999,7.44999999999999,56.55,53.06,
31,1,136,-74.61,39.93,-35.23,2,valid,2,146,67,27.07,27.07,39.93,75.16,-65.46
31,1,137,-4.83,-73.16,19.22,1,valid,1,84,1,5.82999999999998,5.82999999999998,-4.83,68.33,
31,1,138,-84.3,-58.43,11.05,2,invalid,1,132,83,-12.7,12.7,-84.3,-25.87,
31,1,139,70.59,7.16,25.95,1,valid,1,125,74,3.40999999999997,3.40999999999997,70.59,63.43,
31,1,140,72.56,-14.2,-71.45,3,valid,3,89,-60,11.45,11.45,-71.45,,-57.25
31,1,141,-59.43,44.19,20.96,2,invalid,3,155,51,30.04,30.04,20.96,,-23.23
31,1,142,-36.96,84.79,-6.23,2,valid,2,178,88,3.20999999999998,3.20999999999998,84.79,-88.98,-58.25
31,1,143,-5.32,-42.28,-3.9,1,valid,1,92,-42,-36.68,36.68,-5.32,36.96,
31,1,144,47.98,-56.56,-23.72,3,invalid,1,62,-26,-73.98,73.98,47.98,-75.46,
31,1,145,2.62,-9.78,30.77,2,valid,2,20,10,19.78,19.78,-9.78,-40.55,-12.4
31,1,146,-13.87,-34.96,-77.46,3,neutral,3,80,84,-18.54,18.54,-77.46,,-42.5
31,1,147,-57.88,83.97,41.22,2,valid,2,113,73,-10.97,10.97,83.97,42.75,-38.15
31,1,148,86.23,84.82,62.11,3,valid,3,161,55,-7.11000000000001,7.11000000000001,62.11,,-22.71
31,1,149,-1.24,-88.37,20.67,2,valid,2,135,-46,42.37,42.37,-88.37,70.96,-87.13
31,1,150,1.45,-19.56,-8.85,2,invalid,3,12,-24,-15.15,15.15,-8.85,,10.71
32,0,1,-50.22,17.26,-29.62,2,invalid,3,133,-42,-12.38,12.38,-29.62,,-46.88
32,0,2,-4.4,81.83,51,1,valid,1,85,56,60.4,60.4,-4.4,-86.23,
32,0,3,38.64,58.48,49.29,2,valid,2,50,23,-35.48,35.48,58.48,9.19000000000001,19.84
32,0,4,-31.67,-30.26,-42.14,1,valid,1,146,61,-87.33,87.33,-31.67,-1.41,
32,0,5,-60.57,-30.97,-30.17,2,neutral,2,134,-27,3.97000000000003,3.97000000000003,-30.97,-0.800000000000001,29.6
32,0,6,-5.56,13.98,43.21,1,valid,1,86,33,38.56,38.56,-5.56,-19.54,
32,0,7,-89.95,54.56,-53.95,2,invalid,3,25,36,89.95,89.95,-53.95,,71.49
32,0,8,57.47,60.14,38.13,3,valid,3,44,50,11.87,11.87,38.13,,-22.01
32,0,9,-29.79,76.47,-47.72,1,valid,1,126,-49,-19.21,19.21,-29.79,73.74,
32,0,10,-17.03,-14.63,26.75,3,valid,3,66,15,-11.75,11.75,26.75,,41.38
32,0,11,15.18,-87.3,37.67,2,invalid,1,162,-82,82.82,82.82,15.18,-77.52,
32,0,12,-9.51,-18.84,50.73,3,valid,3,110,25,-25.73,25.73,50.73,,69.57
32,0,13,25.34,-81.06,20.06,2,valid,2,42,-87,-5.94,5.94,-81.06,78.88,73.6
32,0,14,-22.82,-19.24,3.93,2,neutral,2,56,-12,7.24000000000001,7.24000000000001,-19.24,-23.17,3.58000000000001
32,0,15,-0.14,-3.73,-13.35,1,valid,1,128,-7,-6.86000000000001,6.86000000000001,-0.14,3.59000000000001,
32,1,1,42.7,59.22,40.69,3,valid,3,125,84,43.31,43.31,40.69,,-18.53
32,1,2,86.25,-4.68,24.79,2,valid,2,34,18,22.68,22.68,-4.68,-29.47,89.07
