participant,vviq,block,trial_number,similarity_bin,target_color,distr_color,td_dist,left_color,right_color,target_noise,distr_noise,target_x,distr_x,cue_n,cue_pos,cued_color,resp_color,error,abs_err,noise,be_c,abs_be_c,bias_to_distr_raw,bias_to_distr_corr
S33,48,2,101,20,93.3,72.85,-20.45,93.3,72.85,high,high,300,-300,2,-300,93.3,69,-24.3,24.3,high - high,-23.0654232803458,23.0654232803458,24.3,23.0654232803458
S33,48,2,102,135,162.4,-59.9000000000001,137.7,300.1,162.4,high,high,-300,300,2,300,162.4,136,-26.4000000000001,26.4000000000001,high - high,-27.0441179746731,27.0441179746731,-26.4000000000001,-27.0441179746731
S33,48,2,103,45,77.06,31.45,-45.61,31.45,77.06,high,low,-300,300,2,300,77.06,36,-41.06,41.06,high - low,-41.2135694153698,41.2135694153698,41.06,41.2135694153698
S33,48,2,104,45,-94.24,-46.26,47.98,265.76,313.74,high,high,300,-300,2,-300,265.76,276,10.24,10.24,high - high,10.0864305846302,10.0864305846302,10.24,10.0864305846302
S33,48,2,105,45,37.57,-9.54999999999997,-47.12,350.45,397.57,high,low,-300,300,2,300,397.57,45,7.43000000000001,7.43000000000001,high - low,7.27643058463019,7.27643058463019,-7.43000000000001,-7.27643058463019
S33,48,2,106,20,-172.36,-155.26,17.1,204.74,187.64,low,low,-300,300,2,300,187.64,180,-7.63999999999999,7.63999999999999,low - low,-6.40542328034585,6.40542328034585,-7.63999999999999,-6.40542328034585
S33,48,2,107,20,168.82,-171.3,19.88,168.82,188.7,low,low,300,-300,2,-300,168.82,157,-11.8199999999999,11.8199999999999,low - low,-10.5854232803458,10.5854232803458,-11.8199999999999,-10.5854232803458
S33,48,2,108,20,-158.8,-137.64,21.16,201.2,222.36,high,high,300,-300,2,-300,201.2,200,-1.20000000000005,1.20000000000005,high - high,0.0345767196540833,0.0345767196540833,-1.20000000000005,0.0345767196540833
S33,48,2,109,135,-140.76,85.48,-133.76,219.24,85.48,high,high,300,-300,2,-300,219.24,158,-61.24,61.24,high - high,-61.8841179746731,61.8841179746731,61.24,61.8841179746731
S33,48,2,110,45,123.34,166.48,43.14,166.48,123.34,low,high,-300,300,2,300,123.34,138,14.6600000000001,14.6600000000001,low - high,14.5064305846303,14.5064305846303,14.6600000000001,14.5064305846303
S33,48,2,111,45,12.03,55.23,43.2,12.03,55.23,low,low,300,-300,2,-300,12.03,359,-13.03,13.03,low - low,-13.1835694153698,13.1835694153698,-13.03,-13.1835694153698
S33,48,2,112,20,133.58,114.48,-19.1,133.58,114.48,low,low,300,-300,2,-300,133.58,160,26.42,26.42,low - low,27.6545767196541,27.6545767196541,-26.42,-27.6545767196541
S33,48,2,113,20,-30.8700000000001,-49.73,-18.86,310.27,329.13,high,low,-300,300,2,300,329.13,359,29.87,29.87,high - low,31.1045767196541,31.1045767196541,-29.87,-31.1045767196541
S33,48,2,114,45,-125.47,-171.16,-45.69,234.53,188.84,high,low,300,-300,2,-300,234.53,213,-21.53,21.53,high - low,-21.6835694153698,21.6835694153698,21.53,21.6835694153698
S33,48,2,115,45,-87.8000000000001,-41.61,46.19,318.39,272.2,high,high,-300,300,2,300,272.2,-53,34.8,34.8,high - high,34.6464305846302,34.6464305846302,34.8,34.6464305846302
S33,48,2,116,135,-86.46,138.82,-134.72,138.82,273.54,low,low,-300,300,2,300,273.54,-41,45.46,45.46,low - low,44.815882025327,44.815882025327,-45.46,-44.815882025327
S33,48,2,117,135,-179.41,-47.3,132.11,180.59,312.7,high,high,300,-300,2,-300,180.59,181,0.410000000000082,0.410000000000082,high - high,-0.234117974672973,0.234117974672973,0.410000000000082,-0.234117974672973
S33,48,2,118,45,-89.86,-133.08,-43.22,226.92,270.14,high,high,-300,300,2,300,270.14,266,-4.13999999999999,4.13999999999999,high - high,-4.29356941536981,4.29356941536981,4.13999999999999,4.29356941536981
S33,48,2,119,135,-167.42,56.08,-136.5,192.58,56.08,high,high,300,-300,2,-300,192.58,187,-5.57999999999993,5.57999999999993,high - high,-6.22411797467298,6.22411797467298,5.57999999999993,6.22411797467298
S33,48,2,120,45,140.76,93.83,-46.93,140.76,93.83,high,low,300,-300,2,-300,140.76,144,3.24000000000001,3.24000000000001,high - low,3.08643058463019,3.08643058463019,-3.24000000000001,-3.08643058463019
S33,48,2,121,45,131.85,175.83,43.98,131.85,175.83,high,high,300,-300,2,-300,131.85,114,-17.85,17.85,high - high,-18.0035694153698,18.0035694153698,-17.85,-18.0035694153698
S33,48,2,122,45,-59.65,-105.32,-45.6700000000001,254.68,300.35,low,low,-300,300,2,300,300.35,118,177.65,177.65,low - low,177.49643058463,177.49643058463,-177.65,-177.49643058463
S33,48,2,123,20,-87.19,-109.45,-22.26,272.81,250.55,high,high,300,-300,2,-300,272.81,251,-21.8099999999999,21.8099999999999,high - high,-20.5754232803458,20.5754232803458,21.8099999999999,20.5754232803458
S33,48,2,124,135,11.41,-121.74,-133.15,238.26,371.41,high,high,-300,300,2,300,371.41,345,-26.41,26.41,high - high,-27.054117974673,27.054117974673,26.41,27.054117974673
S33,48,2,125,45,-56.4200000000001,-8.73999999999997,47.68,351.26,303.58,low,low,-300,300,2,300,303.58,307,3.42000000000007,3.42000000000007,low - low,3.26643058463026,3.26643058463026,3.42000000000007,3.26643058463026
S33,48,2,126,135,162.82,25.29,-137.53,25.29,162.82,high,high,-300,300,2,300,162.82,142,-20.8199999999999,20.8199999999999,high - high,-21.464117974673,21.464117974673,20.8199999999999,21.464117974673
S33,48,2,127,135,-108.97,115.03,-136,115.03,251.03,low,low,-300,300,2,300,251.03,-101,7.97000000000003,7.97000000000003,low - low,7.32588202532699,7.32588202532699,-7.97000000000003,-7.32588202532699
S33,48,2,128,45,168.76,123.29,-45.47,168.76,123.29,low,high,300,-300,2,-300,168.76,223,54.24,54.24,low - high,54.0864305846302,54.0864305846302,-54.24,-54.0864305846302
S33,48,2,129,45,-72.65,-29.46,43.19,287.35,330.54,high,low,300,-300,2,-300,287.35,308,20.65,20.65,high - low,20.4964305846302,20.4964305846302,20.65,20.4964305846302
S33,48,2,130,20,-61.0499999999999,-41.3299999999999,19.72,298.95,318.67,high,high,300,-300,2,-300,298.95,-48,13.05,13.05,high - high,14.2845767196541,14.2845767196541,13.05,14.2845767196541
S33,48,2,131,45,-131.87,-86.17,45.7,273.83,228.13,high,low,-300,300,2,300,228.13,291,62.87,62.87,high - low,62.7164305846302,62.7164305846302,62.87,62.7164305846302
S33,48,2,132,20,24.18,45.76,21.58,24.18,45.76,high,low,300,-300,2,-300,24.18,0,-24.1800000000001,24.1800000000001,high - low,-22.9454232803459,22.9454232803459,-24.1800000000001,-22.9454232803459
S33,48,2,133,45,161.46,117.01,-44.45,117.01,161.46,low,high,-300,300,2,300,161.46,140,-21.46,21.46,low - high,-21.6135694153699,21.6135694153699,21.46,21.6135694153699
S33,48,2,134,135,129.61,-2.48000000000005,-132.09,357.52,489.61,low,low,-300,300,2,300,489.61,140,10.39,10.39,low - low,9.74588202532694,9.74588202532694,-10.39,-9.74588202532694
S33,48,2,135,45,-177.54,-134.78,42.76,225.22,182.46,low,low,-300,300,2,300,182.46,137,-45.46,45.46,low - low,-45.6135694153699,45.6135694153699,-45.46,-45.6135694153699
S33,48,2,136,20,-111.76,-93.57,18.19,266.43,248.24,low,low,-300,300,2,300,248.24,-92,19.76,19.76,low - low,20.9945767196541,20.9945767196541,19.76,20.9945767196541
