participant,trial_counter,condition,target_to_competitor,decoy_reduction,decoy_on,chosen_item,correct,rt
20,86,perceptual,0.03,0.05,competitor,target,1,7.669
20,87,perceptual,0.1,0.2,target,target,1,5.085
20,88,perceptual,0.03,0.05,target,target,1,6.792
20,89,numeric,0.1,0.05,competitor,target,1,6.264
20,90,numeric,0.03,0.2,target,target,1,4.278
20,91,numeric,0.1,0.05,competitor,competitor,0,8.684
20,92,perceptual,0.03,0.2,target,competitor,0,4.32
20,93,numeric,0.1,0.05,target,target,1,8.212
20,94,perceptual,0.1,0.05,competitor,target,1,6.29
20,95,perceptual,0.03,0.2,target,target,1,4.306
20,96,perceptual,0.1,0.05,target,target,1,7.755
20,97,numeric,0.1,0.2,competitor,target,1,4.998
20,98,perceptual,0.1,0.05,target,target,1,7.103
20,99,numeric,0.03,0.05,competitor,target,1,6.239
20,100,numeric,0.03,0.2,target,target,1,7.047
20,101,numeric,0.03,0.2,competitor,target,1,10.716
20,102,perceptual,0.1,0.05,competitor,target,1,3.916
20,103,numeric,0.1,0.05,target,target,1,11.188
20,104,numeric,0.03,0.2,competitor,target,1,8.045
20,105,numeric,0.03,0.2,target,competitor,0,8.43
20,106,perceptual,0.03,0.05,target,target,1,7.455
20,107,numeric,0.1,0.05,competitor,decoy,0,4.398
20,108,numeric,0.1,0.2,competitor,target,1,6.47
20,109,numeric,0.1,0.05,competitor,target,1,4.609
20,110,numeric,0.03,0.05,competitor,competitor,0,10.357
20,111,numeric,0.1,0.05,competitor,target,1,4.819
20,112,perceptual,0.03,0.05,competitor,competitor,0,3.654
20,113,numeric,0.03,0.2,competitor,competitor,0,4.622
20,114,perceptual,0.1,0.05,target,target,1,6.82
20,115,numeric,0.03,0.05,target,target,1,5.406
20,116,numeric,0.03,0.2,competitor,target,1,6.979
20,117,perceptual,0.1,0.05,target,target,1,3.846
20,118,perceptual,0.1,0.2,target,competitor,0,4.262
20,119,perceptual,0.03,0.05,competitor,target,1,5.759
20,120,perceptual,0.03,0.05,target,target,1,8.628
20,121,perceptual,0.03,0.05,target,target,1,8.43
20,122,perceptual,0.03,0.05,competitor,competitor,0,6.767
20,123,numeric,0.1,0.05,competitor,competitor,0,7.997
20,124,numeric,0.03,0.05,competitor,target,1,9.494
20,125,numeric,0.1,0.2,competitor,target,1,6.571
20,126,perceptual,0.1,0.2,competitor,target,1,4.755
20,127,perceptual,0.1,0.2,competitor,target,1,5.025
20,128,numeric,0.03,0.05,competitor,target,1,9.261
20,129,perceptual,0.03,0.2,target,target,1,5.485
20,130,numeric,0.03,0.05,target,competitor,0,12.835
20,131,perceptual,0.03,0.05,target,target,1,7.946
20,132,perceptual,0.1,0.2,competitor,target,1,7.193
20,133,perceptual,0.03,0.05,target,competitor,0,9.514
20,134,numeric,0.03,0.05,target,target,1,5.12
20,135,perceptual,0.03,0.2,competitor,target,1,6.974
20,136,perceptual,0.03,0.2,competitor,competitor,0,8.733
20,137,numeric,0.03,0.05,competitor,target,1,6.532
20,138,numeric,0.1,0.2,target,target,1,6.939
20,139,numeric,0.03,0.05,competitor,target,1,7.59
20,140,perceptual,0.1,0.2,competitor,target,1,5.093
20,141,numeric,0.03,0.2,competitor,competitor,0,4.494
20,142,perceptual,0.03,0.2,competitor,target,1,6.797
20,143,numeric,0.1,0.05,competitor,target,1,11.104
20,144,perceptual,0.1,0.05,competitor,target,1,7.789
20,145,numeric,0.1,0.05,competitor,competitor,0,7.943
20,146,numeric,0.1,0.05,target,target,1,10.234
20,147,numeric,0.1,0.2,competitor,target,1,8.834
20,148,numeric,0.1,0.05,target,target,1,6.492
20,149,numeric,0.1,0.2,competitor,competitor,0,8.374
20,150,perceptual,0.03,0.2,competitor,target,1,6.79
20,151,numeric,0.03,0.2,target,competitor,0,10.964
